edgeID	source	target	weight
370	12805999	7236828769517008193	1
371	12805999	121413839418388394873939278	2
372	12808861	578914660106254719405834579771573067432599184718	1
373	12808861	521516289502072804238679	2
374	12808355	2239690022757479276316904946641524666860986690	1
375	12808355	121413839418388394873939278	1
376	12808355	521516289502072804238679	1
377	12808357	121413839418388394873939278	2
378	12808357	521516289502072804238679	1
379	12807793	521516289502072804238679	1
380	12807793	32306665193131823040923068483	2
381	12807976	121413839418388394873939278	2
382	12807976	521516289502072804238679	1
383	12819736	121413839418388394873939278	2
384	12819736	521516289502072804238679	1
385	12818004	31078127357556036	1
386	12818004	121413839418388394873939278	1
387	12818004	521516289502072804238679	1
388	12818002	121413839418388394873939278	2
389	12818002	521516289502072804238679	1
390	12820890	121413839418388394873939278	1
391	12820890	521516289502072804238679	1
392	12820890	32306665193131823040923068483	1
393	12820951	121413839418388394873939278	1
394	12820951	9620768812034593898263432752725	1
395	12820951	521516289502072804238679	1
396	12820656	121413839418388394873939278	1
397	12820656	521516289502072804238679	1
398	12820656	32306665193131823040923068483	1
399	12817897	1767991375	3
400	12790179	28538242288608588	3
401	12787877	545071411464986956228692	1
402	12787877	6382923	1
403	12787877	435476918092	1
404	12791414	121413839418388394873939278	2
405	12791414	521516289502072804238679	1
406	12788396	121413839418388394873939278	1
407	12788396	521516289502072804238679	2
408	12790738	121413839418388394873939278	2
409	12790738	521516289502072804238679	1
410	12791704	31081942892396520988293885780	1
411	12791704	121413839418388394873939278	1
412	12791704	521516289502072804238679	1
413	12789442	549589403741468145774159	1
414	12789442	8750038109912330062	1
415	12789442	6911817	1
416	12788922	521516289502072804238679	3
417	12788594	2341540494346399607479933985056078	1
418	12788594	121413839418388394873939278	1
419	12788594	521516289502072804238679	1
420	12775161	121413839418388394873939278	1
421	12775161	521516289502072804238679	2
422	12772485	28538242288608588	3
423	12772462	7236828769517008193	1
424	12772462	121413839418388394873939278	1
425	12772462	521516289502072804238679	1
426	12776510	121413839418388394873939278	2
427	12776510	521516289502072804238679	1
428	12776212	107105233887570	1
429	12776212	121413839418388394873939278	1
430	12776212	521516289502072804238679	1
431	12774078	7236828769517008193	1
432	12774078	121413839418388394873939278	1
433	12774078	521516289502072804238679	1
434	12774582	31078127357556036	1
435	12774582	121413839418388394873939278	2
436	12772834	121413839418388394873939278	2
437	12772834	521516289502072804238679	1
438	12774878	33555442805960966414020275785	1
439	12774878	121413839418388394873939278	1
440	12774878	521516289502072804238679	1
441	12773299	121413839418388394873939278	2
442	12773299	521516289502072804238679	1
443	12772793	31081942892396520988293885780	1
444	12772793	7236828769517008193	2
445	12812191	7236828769517008193	1
446	12812191	121413839418388394873939278	2
447	12811179	121413839418388394873939278	1
448	12811179	1797432054517672272215	1
449	12811179	521516289502072804238679	1
450	12813265	121413839418388394873939278	1
451	12813265	43562096849619737762035471215626783727297284812531022	1
452	12813265	521516289502072804238679	1
453	12810134	121413839418388394873939278	1
454	12810134	521516289502072804238679	2
455	12813654	7236828769517008193	1
456	12813654	121413839418388394873939278	1
457	12813654	521516289502072804238679	1
458	12823402	121413839418388394873939278	2
459	12823402	521516289502072804238679	1
460	12821882	121413839418388394873939278	2
461	12821882	32306665193131823040923068483	1
462	12821641	521516289502072804238679	3
463	12821482	121413839418388394873939278	2
464	12821482	521516289502072804238679	1
465	12822694	7236828769517008193	1
466	12822694	121413839418388394873939278	1
467	12822694	521516289502072804238679	1
468	12821942	7236828769517008193	1
469	12821942	121413839418388394873939278	1
470	12821942	521516289502072804238679	1
471	12824844	31078127357556036	1
472	12824844	121413839418388394873939278	1
473	12824844	521516289502072804238679	1
474	12800972	121413839418388394873939278	1
475	12800972	521516289502072804238679	1
476	12800972	32306665193131823040923068483	1
477	12800079	9146642598505027165216713109328	1
478	12800079	121413839418388394873939278	1
479	12800079	521516289502072804238679	1
480	12800888	6382923	1
481	12800888	121413839418388394873939278	1
482	12800888	452924106574	1
483	12800873	121413839418388394873939278	2
484	12800873	521516289502072804238679	1
485	12801292	129134121281876	1
486	12801292	121413839418388394873939278	1
487	12801292	521516289502072804238679	1
488	12801562	121413839418388394873939278	3
489	12799307	121413839418388394873939278	1
490	12799307	521516289502072804238679	2
491	12799277	31081942892396521018577022798	1
492	12799277	121413839418388394873939278	2
493	12799822	121413839418388394873939278	2
494	12799822	521516289502072804238679	1
495	12798186	7236828769517008193	1
496	12798186	121413839418388394873939278	1
497	12798186	521516289502072804238679	1
498	12782687	1279346004	3
499	12786776	31078127357556036	1
500	12786776	121413839418388394873939278	1
501	12786776	521516289502072804238679	1
502	12786712	521516289502072804238679	3
503	12815920	121413839418388394873939278	1
504	12815920	2056718031712504157384663693617490	1
505	12815920	521516289502072804238679	1
506	12816190	7236828769517008193	1
507	12816190	121413839418388394873939278	1
508	12816190	521516289502072804238679	1
509	12815004	6382923	3
510	12817293	478475809871	1
511	12817293	121413839418388394873939278	1
512	12817293	521516289502072804238679	1
513	12815074	121413839418388394873939278	3
514	12817346	7236828769517008193	1
515	12817346	107105233887570	1
516	12817346	521516289502072804238679	1
517	12804278	121413839418388394873939278	1
518	12804278	521516289502072804238679	2
519	12804194	478628110676	1
520	12804194	121413839418388394873939278	1
521	12804194	521516289502072804238679	1
522	12805133	121413839418388394873939278	2
523	12805133	521516289502072804238679	1
524	12802138	121413839418388394873939278	2
525	12802138	521516289502072804238679	1
526	12808262	1871074917823339915351	1
527	12808262	121413839418388394873939278	3
528	12808262	1926853119662446965319	1
529	12808262	521516289502072804238679	2
530	12799232	121413839418388394873939278	4
531	12820623	7236828769517008193	1
532	12820623	31078127357556036	1
533	12820623	121413839418388394873939278	3
534	12822196	2341540494346399607479933985056078	1
535	12822196	121413839418388394873939278	1
536	12822196	521516289502072804238679	2
537	12783823	1871074917823339915351	1
538	12783823	121413839418388394873939278	2
539	12783823	107105233887570	1
540	12786841	478475809871	1
541	12786841	121413839418388394873939278	2
542	12786841	521516289502072804238679	2
543	12782549	7236828769517008193	1
544	12782549	121413839418388394873939278	1
545	12782549	521516289502072804238679	2
546	12776836	31078127357556036	2
547	12776836	121413839418388394873939278	3
548	12776836	521516289502072804238679	1
549	12815549	478628110676	1
