edgeID	source	target	Weight
277	8795347	121413839418388394873939278	1
278	8795347	31371684177600855	1
279	8795347	521258254549769236081730	1
280	8793741	418430412884	1
281	8793741	549589403741468145774159	1
282	8793437	1279346004	2
283	8793807	121413839418388394873939278	1
284	8793807	478475809871	2
285	8793868	6911817	1
286	8793868	1279346004	3
287	8793604	1279346004	4
288	8793846	121413839418388394873939278	1
289	8793846	31371684177600855	1
290	8793846	452924106574	1
291	8793846	7596272323199656276	2
292	8793542	121413839418388394873939278	4
293	8793542	31371684177600855	1
294	8793542	32327230988850727375607391566	1
295	8793542	7596272323199656276	1
296	8794056	121413839418388394873939278	1
297	8794056	31371684177600855	1
298	8794056	7596272323199656276	1
299	8792152	2129690746452074391636	1
300	8792152	549589403741468145774159	1
301	8792109	1279346004	2
302	8792172	1279346004	4
303	8791967	146759091242172238118479175	4
304	8791967	521516289502072804238679	1
305	8792577	521258254549769236081730	1
306	8792697	1634301256	1
307	8792721	6911817	1
308	8792728	521258254549769236081730	1
309	8792727	1279346004	3
310	8794113	478475809871	1
311	8794097	7236828769517008193	1
312	8794579	1279346004	2
313	8794489	1279346004	1
314	8794489	2036159982737939589204	1
315	8794489	521516289502072804238679	1
316	8794489	1365864021	1
317	8794560	6911817	1
318	8794349	1279346004	4
319	8794235	2036735602428272274249	1
320	8794235	6382923	1
321	8794235	7305790108288971841	1
322	8794235	32306665193131823040923068483	1
323	8794363	491261293377	1
324	8794658	6911817	1
325	8794081	31371684177600855	1
326	8794081	7236828769517008193	1
327	8794081	7596272323199656276	2
328	8794258	435476918092	1
329	8794281	521258254549769236081730	1
330	8794377	1279346004	1
331	8794172	1702193486	1
332	8794116	521516289502072804238679	1
333	8794124	6911817	1
334	8794127	1279346004	2
335	8794533	6911817	1
336	8793060	121413839418388394873939278	1
337	8793060	6382923	1
338	8793181	7596272323199656276	3
339	8793122	1279346004	2
340	8792917	111550525237587	1
341	8792961	7305790108288971841	1
342	8792825	549589403741468145774159	1
343	8793294	452924106574	1
344	8793294	121413839418388394873939278	2
345	8793294	521427906626174262592847187455140180	1
346	8793294	32327230988850727375607391566	2
347	8793294	7596272323199656276	2
348	8792891	2129690746452074391636	1
349	8795035	31371684177600855	2
350	8795035	7236828769517008193	1
351	8795035	7596272323199656276	1
352	8794807	1279346004	2
353	8794807	521516289502072804238679	21
354	8794979	1279346004	2
355	8794973	478475809871	1
356	8794739	1279346004	1
357	8794949	7236828769517008193	1
358	8794943	521258254549769236081730	2
359	8795164	1767991375	1
360	8794895	1279346004	1
361	8795306	121413839418388394873939278	1
362	8795306	478475809871	1
363	8795328	28538242288608588	1
364	8794863	1279346004	2
365	8795345	521258254549769236081730	2
366	8793717	6382923	1
367	8793368	521258254549769236081730	2
368	8793908	1279346004	2
369	8793791	6911817	1
370	8793798	1279346004	1
371	8793790	1634301256	1
372	8793667	2110239420476267982670	1
373	8793627	507348819546675442704714	1
374	8793627	1279346004	3
375	8794029	2129690746452074391636	1
376	8794029	549589403741468145774159	1
377	8793523	6911817	1
378	8793518	7236828769517008193	2
379	8793518	1768581446	2
380	8793616	121413839418388394873939278	3
381	8793616	32327230988850727375607391566	1
382	8793616	7596272323199656276	1
383	8793611	2129690746452074391636	1
384	8793607	521258254549769236081730	1
385	8793705	6382923	1
386	8793459	7299526190885335636	1
387	8793459	37586053563934738059816233291	1
388	8793828	121413839418388394873939278	1
389	8793977	6911817	1
390	8794062	521258254549769236081730	1
391	8794062	7596272323199656276	1
392	8794048	1279346004	3
393	8792303	2129690746452074391636	1
394	8792303	121413839418388394873939278	2
395	8792324	121413839418388394873939278	2
396	8792324	1767991375	1
397	8792312	1279346004	2
398	8792312	6382923	1
399	8792428	1279346004	2
400	8792021	7236828769517008193	2
401	8792397	1279346004	1
402	8792395	2036159982737939589204	3
403	8792161	6382923	1
404	8792205	478475809871	1
405	8792205	7236828769517008193	1
406	8792205	521516289502072804238679	1
407	8791995	6911817	1
408	8791988	1279346004	1
409	8792185	1702193486	1
410	8792178	6911817	1
411	8792120	121413839418388394873939278	1
412	8792120	478475809871	1
413	8792131	121413839418388394873939278	1
414	8792131	478475809871	2
415	8792516	121413839418388394873939278	1
416	8792678	1702193486	1
417	8792751	549589403741468145774159	1
418	8792751	28538242288608588	1
419	8792725	1279346004	1
420	8794418	7305790108288971841	1
421	8794428	549589403741468145774159	1
422	8794436	478475809871	1
423	8794436	7236828769517008193	1
424	8794435	121413839418388394873939278	1
425	8794100	6911817	1
426	8794095	6911817	1
427	8794108	1279346004	2
428	8794581	521516289502072804238679	1
429	8794341	111550525237587	1
430	8794641	1279346004	2
431	8794642	2036159982737939589204	1
432	8794673	31371684177600855	1
433	8794673	7236828769517008193	1
434	8794673	7596272323199656276	1
435	8794653	121413839418388394873939278	1
436	8794653	31371684177600855	2
437	8794326	146780325331434161852704682583098960582795024166723	1
438	8794326	630416696994750085934537380840470838011085176357895361949511	1
439	8794066	8750038109912330062	1
440	8794078	478475809871	1
441	8794251	2129690746452074391636	1
442	8794378	1279346004	1
443	8794175	1279346004	1
444	8794169	2110239420476267982670	1
445	8794615	1279346004	3
446	8794610	521258254549769236081730	1
447	8794122	6911817	1
448	8794541	39604895647002594293074705427891849622086	1
449	8794541	6382923	1
450	8794217	121413839418388394873939278	1
451	8794217	478475809871	1
452	8793066	521258254549769236081730	1
453	8793213	1279346004	1
454	8793216	1279346004	2
455	8793107	31371684177600855	1
456	8793107	521427906626174262592847187455140180	1
457	8793107	7596272323199656276	1
458	8792832	1279346004	5
459	8792835	1279346004	2
460	8793013	1279346004	1
461	8793026	121413839418388394873939278	1
462	8793269	549589403741468145774159	1
463	8793283	121413839418388394873939278	1
464	8793283	478475809871	2
465	8793001	521258254549769236081730	1
466	8792758	521258254549769236081730	2
467	8792857	1279346004	1
468	8792787	1279346004	1
469	8793317	121413839418388394873939278	1
470	8795043	37586053563934738059816233291	1
471	8795137	521258254549769236081730	1
472	8794799	6382923	1
473	8795115	6911817	1
474	8794975	2574378147623435030467697948605032905361156176	1
475	8795252	7305790108288971841	1
476	8794910	521258254549769236081730	1
477	8794915	6911817	1
478	8795295	1279346004	4
479	8794957	521258254549769236081730	1
480	8794791	478475809871	1
481	8794744	521258254549769236081730	1
482	8794938	2129690746452074391636	1
483	8794762	31371684177600855	1
484	8794762	7596272323199656276	1
485	8795309	478475809871	2
486	8794853	478475809871	1
487	8793780	6911817	1
488	8793777	6911817	1
489	8793783	1634301256	1
490	8793356	521258254549769236081730	1
491	8793797	6911817	1
492	8793797	1871218978856325309783	1
493	8793793	121413839418388394873939278	1
494	8793859	2055542346391535052884	2
495	8793869	1279346004	1
496	8793952	6911817	1
497	8793650	1279346004	1
498	8793661	6911817	1
499	8793661	1279346004	1
500	8793429	418430412884	1
501	8794002	521516289502072804238679	1
502	8794005	2129690746452074391636	1
503	8794005	1365864021	1
504	8793515	2129690746452074391636	1
505	8793617	121413839418388394873939278	2
506	8793617	521258254549769236081730	1
507	8793617	7596272323199656276	3
508	8793697	6911817	1
509	8793460	1702193486	1
510	8793475	8750038109912330062	1
511	8793820	6911817	1
512	8793831	521258254549769236081730	1
513	8793996	1279346004	1
514	8793995	1279346004	1
515	8793995	6382923	1
516	8794055	521258254549769236081730	1
517	8791935	1279346004	1
518	8792455	1279346004	2
519	8792452	1279346004	1
520	8792427	521258254549769236081730	1
521	8792388	121413839418388394873939278	2
522	8792015	418430412884	1
523	8792031	1279346004	2
524	8792347	521258254549769236081730	1
525	8792231	1702193486	1
526	8792231	6382923	1
527	8792151	6911817	1
528	8792223	1279346004	1
529	8792223	2110239420476267982670	1
530	8792197	121413839418388394873939278	1
531	8792197	7236828769517008193	1
532	8792197	478475809871	1
533	8792197	521516289502072804238679	1
534	8792197	7596272323199656276	1
535	8792181	146759091242172238118479175	2
536	8792193	121413839418388394873939278	1
537	8792193	31371684177600855	1
538	8792193	7236828769517008193	1
539	8792040	549589403741468145774159	1
540	8792053	1871643404943139366210	1
541	8792055	6382923	1
542	8792484	6911817	1
543	8792484	2129690746452074391636	1
544	8792484	2110239420476267982670	1
545	8792126	121413839418388394873939278	1
546	8792126	7236828769517008193	1
547	8792126	478475809871	1
548	8792126	521516289502072804238679	1
549	8792126	7596272323199656276	1
550	8792066	7305790108288971841	1
551	8792082	121413839418388394873939278	1
552	8792082	7236828769517008193	1
553	8792082	478475809871	1
554	8792082	7596272323199656276	1
555	8792628	1767991375	1
556	8792505	2129690746452074391636	1
557	8792660	6382923	2
558	8792525	1279346004	2
559	8792686	521258254549769236081730	2
560	8794450	1768581446	2
561	8794450	8750046993179240790	1
562	8794494	521258254549769236081730	1
563	8794157	1702193486	1
564	8794154	6911817	1
565	8794485	2129690746452074391636	1
566	8794485	521516289502072804238679	2
567	8794227	140756726391254217086300752	1
568	8794234	140756726391254217086300752	1
569	8794239	1279346004	3
570	8794358	1279346004	3
571	8794320	121413839418388394873939278	1
572	8794320	7305790108288971841	1
573	8794244	2129690746452074391636	3
574	8794277	521258254549769236081730	1
575	8794297	121413839418388394873939278	1
576	8794521	452924106574	1
577	8794535	521516289502072804238679	1
578	8793121	121413839418388394873939278	1
579	8793121	7236828769517008193	1
580	8793121	478475809871	1
581	8793121	521516289502072804238679	1
582	8793121	7596272323199656276	1
